,final_kg,final_fat,final_snf,final_protein,final_stab_a,final_stab_b,final_cocoa_a,final_cocoa_b,final_sugar,final_minor
Fresh_milk,9408.0,319.872,747.936,263.424,0.0,0.0,0.0,0.0,0.0,0.0
Rework,1650.0,27.94447613614755,71.79110572352158,34.93059517018444,0.0,1.5980747290359383,0.0,0.0,0.0,1.5107482411104771
SMP,0.21032249048036356,0.0016825799238429084,0.20127862338970792,0.07150964676332361,0.0,0.0,0.0,0.0,0.0,0.0
WMP,1399.6660495102963,552.868089556567,923.7795926767956,447.89313584329483,0.0,0.0,0.0,0.0,0.0,0.0
WPC,756.1345988995952,11.342018983493928,718.3278689546154,453.6807593397571,0.0,0.0,0.0,0.0,0.0,0.0
Stab_a,-6.566960511883823e-13,-5.910264460695441e-13,-5.2535684095070585e-14,-0.0,-6.566960511883823e-13,-0.0,-0.0,-0.0,-0.0,-0.0
Stab_b,53.30192527096354,47.971732743867186,4.264154021677083,0.0,0.0,53.30192527096354,0.0,0.0,0.0,0.0
Cocoa_a,2.6103292735741337e-13,2.871362200931547e-14,2.2187798825380136e-13,6.003757329220508e-14,0.0,0.0,2.6103292735741337e-13,0.0,0.0,0.0
Cocoa_b,2.4308620359298183e-13,2.6739482395228e-14,2.0662327305403454e-13,5.5909826826385824e-14,0.0,0.0,0.0,2.4308620359298183e-13,0.0,0.0
Sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minor,50.38925175888952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.38925175888952
material,13317.702147930226,959.999999999999,2466.2999999999997,1199.9999999999998,-6.566960511883823e-13,54.89999999999947,2.6103292735741337e-13,2.4308620359298183e-13,0.0,51.9
water,16682.297852069772,,,,,,,,,
ds,0.15776999999999994,0.031999999999999966,0.08220999999999999,0.039999999999999994,-2.1889868372946078e-17,0.0018299999999999825,8.701097578580445e-18,8.102873453099395e-18,0.0,0.00173
